tanggal,isu,tonality,berita_jakarta,link/page
12/7/2020,Penunjukan Anies Baswedan Dalam Organisasi C40,POSITIF,Terpilih Sebagai Wakil Ketua C40 Cities Gubernur Anies Berkomitmen Perluas Jangkauan untuk Perbaikan Iklim,https://www.beritajakarta.id/read/85278/terpilih-sebagai-wakil-ketua-c40-cities-gubernur-anies-berkomitmen-perluas-jangkauan-untuk-perbaikan-iklim#.X9BE3ukzbdc
12/7/2020,Penunjukan Anies Baswedan Dalam Organisasi C40,POSITIF,JPS: Kiprah Gubernur DKI Makin Diakui Dunia Internasional,https://www.beritajakarta.id/read/85285/jps-kiprah-gubernur-dki-makin-diakui-dunia-internasional#.X9BEhekzbdc
12/11/2020,Larangan Perayaan Malam Tahun Baru 2021,POSITIF,Kebijakan Larangan Perayaan Tahun Baru Berpotensi Kerumunan Sudah Tepat,https://www.beritajakarta.id/read/85484/kebijakan-larangan-perayaan-tahun-baru-berpotensi-kerumunan-sudah-tepat#.X9mEbekzbdc
12/11/2020,Larangan Perayaan Malam Tahun Baru 2021,POSITIF,Dinas Parekraf DKI Larang Perayaan Tahun Baru Berpotensi Kerumunan,https://www.beritajakarta.id/read/85482/dinas-parekraf-dki-larang-perayaan-tahun-baru-berpotensi-kerumunan#.X9mEeukzbdc
12/18/2020,Seruan Gubernur Jelang Natal dan Tahun Baru 2021,POSITIF,220 Personel Satpol PP Jakpus Bantu Pengamanan Perayaan Ibadah Natal,https://www.beritajakarta.id/read/85574/220-personel-satpol-pp-jakpus-bantu-pengamanan-perayaan-ibadah-natal#.X99jb-kzbdc
12/18/2020,Seruan Gubernur Jelang Natal dan Tahun Baru 2021,POSITIF,Dishub DKI Lakukan Uji Kelaikan Bus AKAP di Empat Terminal,https://www.beritajakarta.id/read/85572/dishub-dki-lakukan-uji-kelaikan-bus-akap-di-empat-terminal#.X99jd-kzbdc
12/18/2020,Seruan Gubernur Jelang Natal dan Tahun Baru 2021,POSITIF,Pemprov DKI Operasikan Empat Terminal Bus AKAP untuk Momen Nataru,https://www.beritajakarta.id/read/85567/pemprov-dki-operasikan-empat-terminal-bus-akap-untuk-momen-nataru#.X99jg-kzbdc
12/18/2020,Seruan Gubernur Jelang Natal dan Tahun Baru 2021,POSITIF,Ini Jadwal Operasional Transportasi Umum di Jakarta Hingga 8 Januari 2021,https://www.beritajakarta.id/read/85605/ini-jadwal-operasional-transportasi-umum-di-jakarta-hingga-8-januari-2021#.X-BHm-kzbUo
12/18/2020,Seruan Gubernur Jelang Natal dan Tahun Baru 2021,POSITIF,1.500 Personel Gabungan Siap Amankan Perayaan Natal dan Tahun Baru di Jaktim,https://www.beritajakarta.id/read/85606/1500-personel-gabungan-siap-amankan-perayaan-natal-dan-tahun-baru-di-jaktim#.X-BHhukzbUo
12/18/2020,Seruan Gubernur Jelang Natal dan Tahun Baru 2021,POSITIF,Antisipasi Lonjakan Kasus Akibat Libur Akhir Tahun Pemprov DKI Perpanjang Masa PSBB Transisi hingga 3 Januari 2021,https://www.beritajakarta.id/read/85603/antisipasi-lonjakan-kasus-akibat-libur-akhir-tahun-pemprov-dki-perpanjang-masa-psbb-transisi-hingga-3-januari-2021#.X-BHoOkzbUo
12/18/2020,Seruan Gubernur Jelang Natal dan Tahun Baru 2021,POSITIF,Pemprov DKI Pastikan Pasokan Pangan dan Harga Aman Jelang Natal dan Tahun Baru,https://www.beritajakarta.id/read/85525/pemprov-dki-pastikan-pasokan-pangan-dan-harga-aman-jelang-natal-dan-tahun-baru#.X99j1-kzbdc
12/21/2020,Uji Coba Penetapan Kawasan Rendah Emisi (Low Emission Zone) di DKI Jakarta,POSITIF,Pemprov DKI Uji Coba Kebijakan Kawasan Rendah Emisi di Kota Tua,https://www.beritajakarta.id/read/85585/pemprov-dki-uji-coba-kebijakan-kawasan-rendah-emisi-di-kota-tua#.X99jS-kzbdc
12/23/2020,RTH dan RPTRA di Jakarta Utara Ditutup Saat Libur Akhir Tahun,POSITIF,RPTRA di Kepulauan Seribu Bakal Ditutup Sementara Waktu,https://www.beritajakarta.id/read/85667/rptra-di-kepulauan-seribu-bakal-ditutup-sementara-waktu#.X-nebOkzbUo
12/23/2020,RTH dan RPTRA di Jakarta Utara Ditutup Saat Libur Akhir Tahun,POSITIF,Ini Destinasi Wisata yang Ditutup Oleh Disbud DKI Saat Natal dan Tahun Baru 2021,https://www.beritajakarta.id/read/85662/ini-destinasi-wisata-yang-ditutup-oleh-disbud-dki-saat-natal-dan-tahun-baru-2021#.X-neb-kzbUo
12/23/2020,RTH dan RPTRA di Jakarta Utara Ditutup Saat Libur Akhir Tahun,POSITIF,Ingat Ya Tiga Pulau Ini Ditutup Saat Libur Nataru,https://www.beritajakarta.id/read/85659/ingat-ya-tiga-pulau-ini-ditutup-saat-libur-nataru#.X-ned-kzbUo
12/23/2020,Unit Usaha Syariah Bank DKI Raih Penghargaan ASR 2020,POSITIF,Unit Usaha Syariah Bank DKI Terima Penghargaan ASR 2020,https://www.beritajakarta.id/read/85628/unit-usaha-syariah-bank-dki-terima-penghargaan-asr-2020#.X-nctOkzbdc
12/29/2020,Peresmian Lapangan Latih Jakarta International Stadium (JIS),POSITIF,Lapangan Latih JIS Diresmikan Ini Keunggulannya,https://www.beritajakarta.id/read/85719/lapangan-latih-jis-diresmikan-ini-keunggulannya#.X-nb_Okzbdc
12/29/2020,Peresmian Lapangan Latih Jakarta International Stadium (JIS),POSITIF,Gubernur Resmikan Lapangan Latih Stadion Jakarta International Stadium,https://www.beritajakarta.id/read/85721/gubernur-resmikan-lapangan-latih-stadion-jakarta-international-stadium#.X-ncBOkzbdc
11/2/2020,DKI Jakarta Raih Penghargaan Sustainable Transport Award (STA) 2021,POSITIF,Jakarta Raih STA 2021 Transjakarta Terus Kembangkan Sistem Integrasi,https://www.beritajakarta.id/read/84340/jakarta-raih-sta-2021-transjakarta-terus-kembangkan-sistem-integrasi#.X57XtlMzbdc
11/2/2020,DKI Jakarta Raih Penghargaan Sustainable Transport Award (STA) 2021,POSITIF,JPS: Menangkan Sustainable Transport Award Bukti Jakarta Berkelas Dunia,https://www.beritajakarta.id/read/84335/jps-menangkan-sustainable-transport-award-bukti-jakarta-berkelas-dunia#.X57Xv1Mzbdc
11/2/2020,DKI Jakarta Raih Penghargaan Sustainable Transport Award (STA) 2021,POSITIF,DKI Jakarta Raih Juara Sustainable Transport Award (STA) 2021,https://www.beritajakarta.id/read/84329/dki-jakarta-raih-juara-sustainable-transport-award-sta-2021#.X57XxlMzbdc
11/2/2020,DKI Jakarta Raih Penghargaan Sustainable Transport Award (STA) 2021,POSITIF,Transjakarta Raih Dua Penghargaan di TPR Award 2020,https://www.beritajakarta.id/read/84311/transjakarta-raih-dua-penghargaan-di-tpr-award-2020#.X57X3FMzbdc
11/3/2020,Halte Transjakarta Rusak akan Didesain Ulang Kekinian,POSITIF,Transjakarta Siapkan Halte dengan Konsep Modern dan Kekinian,https://www.beritajakarta.id/read/84352/transjakarta-siapkan-halte-dengan-konsep-modern-dan-kekinian#.X6N34JMzbUo
11/13/2020,Strategi Pemprov DKI Jakarta Mengatisipasi Banjir,POSITIF,Pemkot Jakbar Lakukan Gerebek Lumpur di Kedoya Selatan,https://www.beritajakarta.id/read/84741/pemkot-jakbar-lakukan-gerebek-lumpur-di-kedoya-selatan#.X7IbRNMzbdc
11/13/2020,Strategi Pemprov DKI Jakarta Mengatisipasi Banjir,POSITIF,Pemkot Jaksel Gelar Aksi Bersih-bersih,https://www.beritajakarta.id/read/84740/pemkot-jaksel-gelar-aksi-bersih-bersih#.X7IbRdMzbdc
11/13/2020,Strategi Pemprov DKI Jakarta Mengatisipasi Banjir,POSITIF,Pemkot Jakpus Rutin Bersihkan Saluran Bersama Warga,https://www.beritajakarta.id/read/84731/pemkot-jakpus-rutin-bersihkan-saluran-bersama-warga#.X7IbUNMzbdc
11/13/2020,Strategi Pemprov DKI Jakarta Mengatisipasi Banjir,POSITIF,Normalisasi Kali Tambun Rengas Capai 20 persen,https://www.beritajakarta.id/read/84715/normalisasi-kali-tambun-rengas-capai-20-persen#.X7IbedMzbdc
11/13/2020,Strategi Pemprov DKI Jakarta Mengatisipasi Banjir,POSITIF,Pemkot Jakpus Siagakan Petugas PPSU untuk Atasi Banjir,https://www.beritajakarta.id/read/84708/pemkot-jakpus-siagakan-petugas-ppsu-untuk-atasi-banjir#.X7IbjNMzbdc
11/13/2020,Strategi Pemprov DKI Jakarta Mengatisipasi Banjir,POSITIF,Empat Titik Saluran di Kelapa Gading Barat Dikuras,https://www.beritajakarta.id/read/84700/empat-titik-saluran-di-kelapa-gading-barat-dikuras#.X7IbnNMzbdc
11/13/2020,Strategi Pemprov DKI Jakarta Mengatisipasi Banjir,POSITIF,10 PPSU Angkut Lumpur dari Saluran Jl Pademangan IV,https://www.beritajakarta.id/read/84697/10-ppsu-angkut-lumpur-dari-saluran-jl-pademangan-iv#.X7Ibn9Mzbdc
11/13/2020,Strategi Pemprov DKI Jakarta Mengatisipasi Banjir,POSITIF,224 Sumur Resapan Selesai Dibangun di Kepulauan Seribu,https://www.beritajakarta.id/read/84696/224-sumur-resapan-selesai-dibangun-di-kepulauan-seribu#.X7IbodMzbdc
11/13/2020,Strategi Pemprov DKI Jakarta Mengatisipasi Banjir,POSITIF,826 Tali Air di Jakpus Telah Diperbaiki,https://www.beritajakarta.id/read/84682/826-tali-air-di-jakpus-telah-diperbaiki#.X7Ibs9Mzbdc
11/13/2020,Strategi Pemprov DKI Jakarta Mengatisipasi Banjir,POSITIF,Saluran Penghubung Poncol Bakal Diturap,https://www.beritajakarta.id/read/84687/saluran-penghubung-poncol-bakal-diturap#.X7Ibu9Mzbdc
11/13/2020,Strategi Pemprov DKI Jakarta Mengatisipasi Banjir,POSITIF,Saluran Jalan Pekapuran II Dibersihkan Petugas,https://www.beritajakarta.id/read/84678/saluran-jalan-pekapuran-ii-dibersihkan-petugas#.X7IbwNMzbdc
11/13/2020,Strategi Pemprov DKI Jakarta Mengatisipasi Banjir,POSITIF,38 Pasukan Biru Kuras Lima Saluran di Tanah Abang,https://www.beritajakarta.id/read/84666/38-pasukan-biru-kuras-lima-saluran-di-tanah-abang#.X7Ibw9Mzbdc
11/13/2020,Strategi Pemprov DKI Jakarta Mengatisipasi Banjir,POSITIF,Saluran di Wilayah RW 11 Pejaten Timur Dikuras,https://www.beritajakarta.id/read/84668/saluran-di-wilayah-rw-11-pejaten-timur-dikuras#.X7IbyNMzbdc
11/13/2020,Strategi Pemprov DKI Jakarta Mengatisipasi Banjir,POSITIF,Genangan di RW 04 dan 05 Kelurahan Kampung Melayu Surut,https://www.beritajakarta.id/read/84667/genangan-di-rw-04-dan-05-kelurahan-kampung-melayu-surut#.X7IbztMzbdc
11/13/2020,Strategi Pemprov DKI Jakarta Mengatisipasi Banjir,POSITIF,Tutupi Saluran Air Bangunan Kios di Poncol Ditertibkan,https://www.beritajakarta.id/read/84649/tutupi-saluran-air-bangunan-kios-di-poncol-ditertibkan#.X7Ib4tMzbdc
11/13/2020,Strategi Pemprov DKI Jakarta Mengatisipasi Banjir,POSITIF,Pembangunan Kolam Retensi di Rorotan Ditarget Rampung Desember,https://www.beritajakarta.id/read/84646/pembangunan-kolam-retensi-di-rorotan-ditarget-rampung-desember#.X7Ib69Mzbdc
